id_song,track_name,artist(s)_name,id_rec_1,id_rec_2,id_rec_3,id_rec_4,id_rec_5,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,et_key,et_mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,artist_0,artist_1,artist_2,artist_3,artist_4,artist_5,artist_6,artist_7,genre_inferred,subgenre_inferred
41,Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",91,232,16,241,643,4277,66,177740666,145,111,213,11,810,128,8,1,60,23,91,0,0,12,3,david guetta,annemarie,coi leray,,,,,,Dance / Electronic,Hip-Hop / Rap
42,AMARGURA,Karol G,151,586,386,200,295,1133,39,153372011,14,71,23,10,176,107,6,0,92,55,70,18,0,15,7,karol g,,,,,,,,Latin / Reggaeton,
43,(It Goes Like) Nanana - Edit,Peggy Gou,119,20,44,45,385,2259,59,57876440,0,0,109,17,0,130,8,0,67,96,88,12,19,8,4,peggy gou,,,,,,,,Latin / Reggaeton,Pop
44,Moonlight,Kali Uchis,45,378,469,119,43,2649,42,256483385,67,79,57,1,615,137,8,0,64,88,72,51,0,17,5,kali uchis,,,,,,,,Pop,
45,La Bachata,Manuel Turizo,44,469,378,119,20,6804,45,1214083358,139,111,161,15,210,125,8,0,84,85,68,58,0,22,4,manuel turizo,,,,,,,,Latin / Reggaeton,
46,Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",300,122,361,636,267,5184,41,156338624,154,84,102,14,37,133,3,1,70,86,81,25,0,25,5,pinkpantheress,ice spice,,,,,,,Hip-Hop / Rap,Latin / Reggaeton
47,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",626,306,509,555,215,3107,39,720434240,38,0,4,0,0,101,5,1,88,72,59,62,0,9,3,charlie puth,bts,jung kook,,,,,,K-Pop,Latin / Reggaeton
48,BESO,"Rauw Alejandro, ROSALï¿½",294,649,401,407,605,4053,50,357925728,82,121,182,12,171,95,3,0,77,53,64,74,0,17,14,rauw alejandro,rosali¿½,,,,,,,Latin / Reggaeton,
49,Hey Mor,"Ozuna, Feid",686,559,395,499,238,4637,38,674072710,63,79,89,11,16,98,2,0,90,40,59,0,0,10,29,ozuna,feid,,,,,,,Latin / Reggaeton,Hip-Hop / Rap
50,Yellow,Chris Molitor,492,552,193,670,591,31358,43,1755214421,196,2,4053,5,0,173,1,1,43,28,66,0,0,23,3,chris molitor,,,,,,,,Rock / Alternative,Pop
51,Karma,Taylor Swift,54,127,171,160,708,3818,23,404562836,37,55,32,0,272,90,7,1,64,10,62,7,0,48,7,taylor swift,,,,,,,,Pop,
52,People,Libianca,536,186,671,527,685,3506,56,373199958,105,64,169,8,529,198,10,0,59,71,42,55,0,10,7,libianca,,,,,,,,Pop,
53,Overdrive,Post Malone,396,489,86,666,655,410,36,14780425,36,32,31,1,26,140,2,1,56,48,73,0,0,35,4,post malone,,,,,,,,Hip-Hop / Rap,Pop
54,Enchanted (Taylor's Version),Taylor Swift,51,127,171,111,320,148,24,39578178,32,93,8,2,5,82,7,1,51,22,53,1,0,15,3,taylor swift,,,,,,,,Pop,
55,BABY HELLO,"Rauw Alejandro, Bizarrap",634,375,412,526,532,1004,35,54266102,42,80,58,3,169,130,2,0,77,84,89,17,0,43,5,rauw alejandro,bizarrap,,,,,,,Latin / Reggaeton,
56,golden hour,JVKE,452,691,132,77,549,4511,36,751134527,70,58,109,18,230,94,2,0,51,14,59,65,18,25,3,jvke,,,,,,,,R&B,Pop
57,"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",700,535,279,30,360,8506,45,1356565093,94,65,164,14,176,128,5,1,62,55,78,1,3,23,4,bizarrap,quevedo,,,,,,,Latin / Reggaeton,
58,Viva La Vida,Coldplay,550,291,224,24,11,33898,62,1592909789,233,0,4095,9,0,138,3,0,49,42,62,9,0,11,3,coldplay,,,,,,,,Rock / Alternative,
59,Here With Me,d4vd,568,112,710,118,453,3246,23,635412045,94,85,68,1,84,132,9,1,58,27,48,50,0,12,3,d4vd,,,,,,,,Pop,
60,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",405,64,494,168,658,8576,42,1230675890,216,108,331,26,154,131,5,1,71,24,47,1,0,27,9,sam smith,kim petras,,,,,,,Hip-Hop / Rap,
61,Yandel 150,"Yandel, Feid",684,180,293,686,386,3618,38,585695368,47,74,80,14,194,168,6,0,78,58,73,5,0,10,7,yandel,feid,,,,,,,Latin / Reggaeton,
62,Riptide,Vance Joy,399,86,1,345,681,31123,55,2009094673,300,65,1003,1,0,102,2,1,48,50,73,43,0,15,4,vance joy,,,,,,,,Rock / Alternative,
63,Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",194,256,254,596,432,2790,30,600976848,60,96,71,0,115,101,10,1,34,32,57,78,0,20,3,em beihold,stephen sanchez,,,,,,,R&B,
64,Back To December (Taylor's Version),Taylor Swift,30,339,215,127,279,139,17,39228929,16,72,5,0,8,142,5,1,50,20,64,1,0,12,3,taylor swift,,,,,,,,Pop,
65,STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",327,53,545,86,681,17050,36,2665343922,492,99,798,31,0,170,2,1,59,48,76,4,0,10,5,justin bieber,the kid laroi,,,,,,,Pop,Hip-Hop / Rap
66,El Merengue,"Marshmello, Manuel Turizo",656,251,174,684,630,2114,44,223633238,80,75,110,11,323,124,7,0,78,70,68,3,1,11,4,marshmello,manuel turizo,,,,,,,Latin / Reggaeton,
67,Me Porto Bonito,"Chencho Corleone, Bad Bunny",532,592,375,579,580,8870,43,1440757818,104,120,141,26,49,92,2,0,91,43,71,9,0,9,8,chencho corleone,bad bunny,,,,,,,Latin / Reggaeton,
68,Makeba,Jain,168,626,598,339,509,6060,53,165484133,150,148,2703,22,1451,116,5,1,82,40,66,39,51,25,7,jain,,,,,,,,Latin / Reggaeton,
69,MONTAGEM - FR PUNK,"Ayparia, unxbected",357,145,192,443,639,641,50,58054811,1,52,8,0,1170,129,4,1,63,84,82,70,8,9,7,ayparia,unxbected,,,,,,,Pop,
70,Fast Car,Luke Combs,438,272,517,100,13,1446,12,157058870,57,97,35,0,429,98,7,1,71,67,60,19,0,12,3,luke combs,,,,,,,,Latin / Reggaeton,
71,What It Is (Solo Version),Doechii,686,124,499,612,37,804,25,95131998,29,76,24,0,162,172,2,0,74,76,76,6,0,10,9,doechii,,,,,,,,Hip-Hop / Rap,
72,Coco Chanel,"Bad Bunny, Eladio Carrion",584,590,64,81,107,1962,38,250305248,28,89,29,5,82,150,5,1,68,14,76,4,0,10,4,bad bunny,eladio carrion,,,,,,,Latin / Reggaeton,
73,Still With You,Jung Kook,335,547,592,680,691,31,39,38411956,2,107,8,0,0,88,2,0,53,34,47,9,0,83,4,jung kook,,,,,,,,K-Pop,Pop
74,All My Life (feat. J. Cole),"J. Cole, Lil Durk",565,621,631,648,135,2175,23,144565150,69,145,69,2,478,143,11,1,83,69,44,15,0,10,33,j cole,lil durk,,,,,,,Hip-Hop / Rap,
75,Say Yes To Heaven,Lana Del Rey,176,295,200,77,367,2000,46,127567540,49,105,63,1,0,100,6,0,49,17,35,71,9,11,3,lana del rey,,,,,,,,Pop,
76,Snooze,SZA,359,361,2,36,646,2839,25,399686758,58,156,42,1,236,143,3,1,56,39,55,14,0,11,13,sza,,,,,,,,R&B,
77,Summertime Sadness,Lana Del Rey,691,124,37,549,547,20333,52,983637508,89,143,1632,3,200,112,2,0,56,24,66,7,0,12,3,lana del rey,,,,,,,,Rock / Alternative,Pop
78,Take Two,BTS,471,16,232,91,115,674,47,118482347,20,106,25,4,78,93,8,1,62,57,59,3,0,38,3,bts,,,,,,,,K-Pop,
79,Lover,Taylor Swift,713,372,91,138,708,8448,23,882831184,160,110,163,0,5,206,8,1,43,50,55,50,0,15,10,taylor swift,,,,,,,,Pop,
80,Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",190,167,172,265,326,2110,58,286400165,17,119,19,2,266,88,8,0,68,17,71,15,0,11,5,future,metro boomin,don toliver,,,,,,Hip-Hop / Rap,
81,Chemical,Post Malone,107,700,279,64,53,2528,39,172825906,56,91,59,3,486,170,5,1,50,37,90,0,0,12,5,post malone,,,,,,,,Hip-Hop / Rap,Pop
